,Unnamed: 0,GameType,GameID,Date,PlayerID,Player,Position,Team,Opponent,Venue,Starter,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,Usage,Rest,bonus,PlayerFP,GameFP/36,TeamFP,Status,GP,TOTfp,TOTmin,FPperMIN,expFP,delta,MPG,teamperc,percavg,rollingMin
158,158,NBA 2020-2021 Regular Season,22000013,12/23/2020,1630166,Deni Avdija,F,Washington,Philadelphia,R,1,28.1,2,2,2,2,1,2,0,4,4,1,3,1,1,0,7,5.81,3+,0.0,16.0,20.5,218.0,0.64,25,413.5,548.0600000000001,0.75,21.1,-5.100000000000001,21.9,0.073394495412844,,
159,159,NBA 2020-2021 Regular Season,22000013,12/23/2020,1628418,Thomas Bryant,C-F,Washington,Philadelphia,R,1,25.55,5,13,0,3,0,1,1,4,5,0,5,0,2,1,10,25.42,3+,0.0,17.25,24.3,218.0,1.0,10,266.25,270.85,0.98,25.0,-7.75,27.1,0.0791284403669724,,
160,160,NBA 2020-2021 Regular Season,22000013,12/23/2020,203078,Bradley Beal,G,Washington,Philadelphia,R,1,35.73,11,22,3,8,6,7,0,2,2,3,3,4,6,0,31,36.59,3+,0.0,44.5,44.8,218.0,1.0,27,1355.0,964.9,1.4,50.0,-5.5,35.7,0.2041284403669724,,
161,161,NBA 2020-2021 Regular Season,22000013,12/23/2020,201566,Russell Westbrook,G,Washington,Philadelphia,R,1,36.3,9,22,0,2,3,5,2,9,11,15,3,0,6,0,21,34.99,3+,0.0,54.25,53.8,218.0,1.0,22,1060.75,746.6600000000002,1.42,51.5,2.75,33.9,0.2488532110091743,,
162,162,NBA 2020-2021 Regular Season,22000013,12/23/2020,202397,Ish Smith,G,Washington,Philadelphia,R,0,22.88,2,7,1,2,2,2,0,4,4,3,1,0,1,1,7,16.32,3+,0.0,18.5,29.1,218.0,0.05,19,347.5,390.8399999999999,0.89,20.4,-1.8999999999999984,20.6,0.0848623853211009,,
163,163,NBA 2020-2021 Regular Season,22000013,12/23/2020,1628972,Troy Brown Jr.,G-F,Washington,Philadelphia,R,0,22.43,1,3,1,2,0,0,0,3,3,1,2,0,0,0,3,5.63,3+,0.0,8.75,14.0,218.0,0.0,14,150.5,208.98,0.72,16.1,-7.350000000000001,14.9,0.040137614678899,,
164,164,NBA 2020-2021 Regular Season,22000013,12/23/2020,201577,Robin Lopez,C,Washington,Philadelphia,R,0,16.53,1,3,1,1,0,0,1,2,3,0,4,0,2,1,3,12.72,3+,0.0,8.25,18.0,218.0,0.31,29,475.25,579.61,0.82,13.6,-5.35,20.0,0.0378440366972477,,
165,165,NBA 2020-2021 Regular Season,22000013,12/23/2020,202722,Davis Bertans,F,Washington,Philadelphia,R,0,20.13,4,7,4,6,2,2,0,3,3,1,0,0,0,1,14,16.46,3+,0.0,23.25,41.6,218.0,0.12,26,501.0,681.34,0.74,14.9,8.35,26.2,0.1066513761467889,,
166,166,NBA 2020-2021 Regular Season,22000013,12/23/2020,203526,Raul Neto,G,Washington,Philadelphia,R,0,9.7,0,1,0,0,2,3,0,0,0,1,0,0,0,0,2,10.06,3+,0.0,3.5,13.0,218.0,0.25,24,382.75,461.4000000000001,0.83,8.1,-4.6,19.2,0.0160550458715596,,
167,167,NBA 2020-2021 Regular Season,22000013,12/23/2020,1629021,Moritz Wagner,F-C,Washington,Philadelphia,R,0,5.92,2,2,0,0,0,0,0,2,2,1,3,0,0,0,4,14.21,3+,0.0,8.0,48.6,218.0,0.35,17,248.5,241.96000000000004,1.03,6.1,1.9000000000000004,14.2,0.036697247706422,,
